gvkey,tic,fyear,ni,oancf,at,revt,Accruals,Accrual_Ratio,Rev_Growth,Type
034447,BYND,2020,-52.752,-39.995,468.006,406.785,-12.757000000000005,-0.027258197544475938,,Growth
034447,BYND,2021,-182.105,-301.37,1379.399,464.7,119.26500000000001,0.0864615676827372,0.14237250636085386,Growth
034447,BYND,2022,-366.137,-320.244,1062.224,418.933,-45.89299999999997,-0.04320463480395846,-0.09848719604045619,Growth
034447,BYND,2023,-338.144,-107.825,774.45,343.376,-230.31900000000002,-0.2973968622893666,-0.18035580868539847,Growth
034447,BYND,2024,-160.278,-98.813,678.146,326.452,-61.46499999999999,-0.09063682451861398,-0.0492870788872839,Growth
175269,CELH,2020,8.524,3.395,131.29,130.726,5.129,0.03906618935181659,,Growth
175269,CELH,2021,3.937,-96.586,314.018,314.272,100.523,0.3201185919278513,1.4040512216391536,Growth
175269,CELH,2022,-187.282,108.182,1222.069,653.604,-295.464,-0.24177358234273189,1.0797398431931575,Growth
175269,CELH,2023,226.801,141.218,1536.396,1318.014,85.583,0.05570373783842186,1.0165329465547943,Growth
175269,CELH,2024,145.074,262.898,1766.881,1355.63,-117.82400000000001,-0.06668473994570093,0.028539909287761844,Growth
005071,GIS,2020,2339.8,2983.2,31841.9,18127.0,-643.3999999999996,-0.02020608066729685,,Mature
005071,GIS,2021,2707.3,3316.1,31090.1,18992.8,-608.7999999999997,-0.019581796134460802,0.04776300546146639,Mature
005071,GIS,2022,2593.9,2778.6,31451.7,20094.2,-184.69999999999982,-0.005872496558214654,0.057990396360726226,Mature
005071,GIS,2023,2496.6,3302.6,31469.9,19857.2,-806.0,-0.025611775061249002,-0.011794448149217152,Mature
005071,GIS,2024,2295.2,2918.2,33071.1,19486.6,-623.0,-0.01883820012034677,-0.018663255645307575,Mature
005568,KHC,2020,356.0,4929.0,99830.0,26185.0,-4573.0,-0.04580787338475408,,Mature
005568,KHC,2021,1012.0,5364.0,93394.0,26042.0,-4352.0,-0.046598282544917234,-0.0054611418751193685,Mature
005568,KHC,2022,2363.0,2469.0,90513.0,26485.0,-106.0,-0.0011711024935644604,0.0170109822594271,Mature
005568,KHC,2023,2855.0,3976.0,90339.0,26640.0,-1121.0,-0.012408815683149027,0.005852369265622048,Mature
005568,KHC,2024,2744.0,4184.0,88287.0,25846.0,-1440.0,-0.016310442080940568,-0.029804804804804852,Mature
003144,KO,2020,7747.0,9844.0,87296.0,33014.0,-2097.0,-0.024021719208211143,,Mature
003144,KO,2021,9771.0,12625.0,94354.0,38655.0,-2854.0,-0.030247790236767918,0.17086690494941537,Mature
003144,KO,2022,9542.0,11018.0,92763.0,43004.0,-1476.0,-0.015911516445134374,0.11250808433579107,Mature
003144,KO,2023,10714.0,11599.0,97703.0,45754.0,-885.0,-0.009058063723734173,0.06394753976374301,Mature
003144,KO,2024,10631.0,6805.0,100549.0,47061.0,3826.0,0.03805109946394295,0.028565808453905772,Mature
142953,MDLZ,2020,3555.0,3964.0,67810.0,26581.0,-409.0,-0.00603155876714349,,Mature
142953,MDLZ,2021,4300.0,4141.0,67092.0,28720.0,159.0,0.00236988016455017,0.08047101312967908,Mature
142953,MDLZ,2022,2717.0,3908.0,71161.0,31496.0,-1191.0,-0.016736695661949665,0.09665738161559889,Mature
142953,MDLZ,2023,4959.0,4714.0,71391.0,36016.0,245.0,0.003431805129498116,0.143510287020574,Mature
142953,MDLZ,2024,4611.0,4910.0,68497.0,36441.0,-299.0,-0.004365154678307079,0.011800310972901018,Mature
024316,MNST,2020,1409.594,1364.163,6202.716,4613.838,45.43100000000004,0.007324372097642393,,Growth
024316,MNST,2021,1377.475,1155.741,7804.784,5541.352,221.73399999999992,0.028410011090633635,0.20102873139455713,Growth
024316,MNST,2022,1191.624,887.699,8293.105,6311.05,303.92500000000007,0.03664791414072294,0.13890075923709588,Growth
024316,MNST,2023,1630.988,1717.753,9686.522,7140.027,-86.76499999999987,-0.00895729137868059,0.13135326134319958,Growth
024316,MNST,2024,1509.048,1928.533,7719.089,7492.709,-419.4849999999999,-0.05434384808880943,0.04939505130722899,Growth
038676,OTLY,2020,-60.361,-44.308,678.929,421.351,-16.052999999999997,-0.023644593175427765,,Growth
038676,OTLY,2021,-212.393,-213.832,1628.912,643.19,1.438999999999993,0.0008834117496832198,0.5264945378081458,Growth
038676,OTLY,2022,-392.567,-268.946,1225.197,722.238,-123.62099999999998,-0.10089887585425038,0.12289992070772238,Growth
038676,OTLY,2023,-416.874,-165.626,1116.971,783.348,-251.24800000000002,-0.22493690525537371,0.0846119977071269,Growth
038676,OTLY,2024,-201.949,-114.428,803.98,823.666,-87.52100000000002,-0.10885967312619718,0.051468823562452526,Growth
008479,PEP,2020,7120.0,10613.0,92918.0,70372.0,-3493.0,-0.03759228567123701,,Mature
008479,PEP,2021,7618.0,11616.0,92377.0,79474.0,-3998.0,-0.04327917122227394,0.1293412152560678,Mature
008479,PEP,2022,8910.0,10811.0,92187.0,86392.0,-1901.0,-0.02062112879256294,0.08704733623575,Mature
008479,PEP,2023,9074.0,13442.0,100495.0,91471.0,-4368.0,-0.04346484899746256,0.05879016575608853,Mature
008479,PEP,2024,9578.0,12507.0,99467.0,91854.0,-2929.0,-0.029446952255521932,0.0041871194148965785,Mature
027576,SMPL,2020,65.638,58.921,2008.445,816.641,6.717000000000006,0.003344378362364917,,Growth
027576,SMPL,2021,40.88,132.089,2052.217,1005.613,-91.209,-0.04444413042090578,0.23140155833469067,Growth
027576,SMPL,2022,108.574,110.639,2094.249,1168.678,-2.0649999999999977,-0.000986033656933821,0.1621548249674578,Growth
027576,SMPL,2023,133.575,171.117,2097.084,1242.672,-37.542,-0.017902001064335052,0.06331427476173923,Growth
027576,SMPL,2024,139.309,215.704,2436.144,1331.321,-76.39500000000001,-0.031358983705396734,0.07133740842313974,Growth
